test,alpha,bot_pos,rat_pos,neighbor_sensings_1,ping_tries_1,moves_1,total_actions_1,neighbor_sensings_2,ping_tries_2,moves_2,total_actions_2
63,0.08,"(22, 14)","(21, 23)",14,95,108,217,4,56,43,103
64,0.06,"(0, 17)","(10, 19)",10,41,50,101,4,121,74,199
65,0.1,"(1, 19)","(29, 23)",9,118,126,253,14,136,120,270
66,0.02,"(22, 7)","(12, 23)",3,85,87,175,5,201,173,379
67,0.1,"(17, 2)","(0, 1)",4,89,92,185,10,101,87,198
68,0.08,"(12, 12)","(13, 28)",8,50,57,115,5,116,106,227
69,0.06,"(12, 0)","(16, 13)",7,99,105,211,4,106,78,188
70,0.06,"(14, 7)","(0, 9)",8,56,63,127,7,71,63,141
71,0.06,"(9, 24)","(15, 4)",10,81,90,181,3,151,113,267
72,0.14,"(25, 10)","(26, 27)",8,195,202,405,14,136,130,280
