test,alpha,bot_pos,rat_pos,neighbor_sensings_1,ping_tries_1,moves_1,total_actions_1,neighbor_sensings_2,ping_tries_2,moves_2,total_actions_2
805,0.14,"(19, 29)","(29, 0)",8,154,161,323,4,87,79,170
806,0.2,"(12, 1)","(26, 6)",5,86,90,181,4,156,131,291
807,0.16,"(29, 24)","(8, 5)",13,77,89,179,6,84,76,166
808,0.14,"(18, 23)","(10, 19)",9,151,159,319,3,93,77,173
809,0.14,"(23, 1)","(16, 19)",3,165,167,335,4,82,67,153
810,0.12,"(6, 15)","(27, 29)",12,84,95,191,6,61,56,123
811,0.04,"(28, 20)","(5, 15)",9,124,132,265,6,181,175,362
812,0.14,"(0, 23)","(3, 10)",3,86,88,177,4,127,110,241
813,0.12,"(28, 26)","(26, 28)",8,14,21,43,5,27,19,51
814,0.12,"(22, 6)","(25, 28)",6,102,107,215,7,101,97,205
815,0.02,"(13, 25)","(15, 26)",20,268,287,575,5,235,198,438
816,0.08,"(1, 13)","(8, 7)",3,12,14,29,5,136,115,256
817,0.16,"(1, 1)","(12, 6)",3,139,141,283,9,54,49,112
818,0.18,"(19, 6)","(6, 8)",4,145,148,297,4,98,83,185
819,0.12,"(4, 12)","(4, 2)",14,26,39,79,9,349,326,684
820,0.12,"(14, 15)","(18, 12)",5,87,91,183,10,145,130,285
821,0.14,"(27, 28)","(23, 10)",6,211,216,433,2,116,102,220
822,0.14,"(19, 11)","(22, 7)",5,68,72,145,5,37,26,68
823,0.12,"(27, 12)","(7, 8)",7,192,198,397,5,206,155,366
824,0.18,"(20, 28)","(17, 14)",15,96,110,221,9,197,175,381
825,0.14,"(19, 4)","(5, 10)",4,145,148,297,3,47,38,88
826,0.02,"(15, 21)","(17, 15)",8,211,218,437,16,7,16,39
827,0.08,"(18, 13)","(8, 19)",7,188,194,389,4,112,92,208
828,0.02,"(9, 19)","(25, 18)",6,178,183,367,12,203,190,405
829,0.18,"(14, 1)","(4, 12)",5,308,312,625,3,74,59,136
830,0.02,"(29, 18)","(13, 6)",11,142,152,305,6,100,86,192
831,0.16,"(24, 12)","(16, 9)",5,9,13,27,6,126,111,243
832,0.06,"(14, 17)","(2, 22)",7,124,130,261,8,139,130,277
833,0.06,"(0, 11)","(25, 4)",4,61,64,129,24,266,255,545
834,0.1,"(17, 1)","(15, 4)",7,137,143,287,5,29,19,53
835,0.2,"(0, 7)","(10, 11)",12,62,73,147,4,47,34,85
836,0.2,"(0, 25)","(2, 27)",13,8,20,41,12,15,12,39
837,0.18,"(14, 12)","(12, 26)",4,92,95,191,4,53,42,99
838,0.1,"(20, 12)","(25, 5)",8,270,277,555,4,109,99,212
839,0.12,"(24, 5)","(1, 24)",7,95,101,203,17,121,123,261
840,0.14,"(28, 6)","(19, 25)",5,220,224,449,12,59,56,127
841,0.16,"(20, 1)","(19, 16)",11,268,278,557,4,79,60,143
842,0.12,"(7, 6)","(17, 16)",12,176,187,375,3,108,91,202
843,0.06,"(9, 7)","(19, 2)",7,476,482,965,12,196,179,387
844,0.08,"(17, 1)","(5, 29)",10,91,100,201,4,289,271,564
845,0.1,"(29, 14)","(10, 26)",2,58,59,119,4,76,69,149
