 test, q,bot_pos,button_pos,fire_pos,Winnability, result1, result2, result3, result4, t1, t2, t3, t4, final_path1, final_path2, final_path3, final_path4
484,0.4,"(26, 21)","(5, 11)","(35, 3)",1,1,1,1,1,33,33,33,33,"[(25, 21), (24, 21), (23, 21), (22, 21), (22, 20), (22, 19), (21, 19), (21, 18), (20, 18), (19, 18), (19, 17), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (13, 14), (13, 13), (12, 13), (11, 13), (11, 12), (10, 12), (10, 11), (9, 11), (8, 11), (8, 10), (7, 10), (6, 10), (6, 11), (5, 11)]","[(25, 21), (24, 21), (23, 21), (22, 21), (22, 20), (22, 19), (21, 19), (21, 18), (20, 18), (19, 18), (19, 17), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (13, 14), (13, 13), (12, 13), (11, 13), (11, 12), (10, 12), (10, 11), (9, 11), (8, 11), (8, 10), (7, 10), (6, 10), (6, 11), (5, 11)]","[(25, 21), (24, 21), (23, 21), (22, 21), (22, 20), (22, 19), (21, 19), (21, 18), (20, 18), (19, 18), (19, 17), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (13, 14), (13, 13), (12, 13), (11, 13), (11, 12), (10, 12), (10, 11), (9, 11), (8, 11), (8, 10), (7, 10), (6, 10), (6, 11), (5, 11)]","[(25, 21), (24, 21), (23, 21), (22, 21), (22, 20), (22, 19), (21, 19), (21, 18), (20, 18), (19, 18), (19, 17), (19, 16), (18, 16), (17, 16), (16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (13, 14), (13, 13), (12, 13), (11, 13), (11, 12), (10, 12), (10, 11), (9, 11), (8, 11), (8, 12), (7, 12), (6, 12), (6, 11), (5, 11)]"
485,0.95,"(32, 23)","(14, 21)","(35, 29)",1,1,1,1,1,26,26,26,26,"[(31, 23), (31, 24), (30, 24), (29, 24), (29, 23), (28, 23), (27, 23), (27, 22), (26, 22), (26, 21), (26, 20), (25, 20), (24, 20), (24, 21), (23, 21), (22, 21), (21, 21), (20, 21), (19, 21), (18, 21), (17, 21), (17, 22), (16, 22), (15, 22), (15, 21), (14, 21)]","[(31, 23), (31, 24), (30, 24), (29, 24), (29, 23), (28, 23), (27, 23), (27, 22), (26, 22), (26, 21), (26, 20), (25, 20), (24, 20), (24, 21), (23, 21), (22, 21), (21, 21), (20, 21), (19, 21), (18, 21), (17, 21), (17, 22), (16, 22), (15, 22), (15, 21), (14, 21)]","[(31, 23), (31, 24), (30, 24), (29, 24), (29, 23), (28, 23), (27, 23), (27, 22), (26, 22), (26, 21), (26, 20), (25, 20), (24, 20), (24, 21), (23, 21), (22, 21), (21, 21), (20, 21), (19, 21), (18, 21), (17, 21), (17, 22), (16, 22), (15, 22), (15, 21), (14, 21)]","[(31, 23), (31, 24), (30, 24), (29, 24), (29, 23), (28, 23), (27, 23), (27, 22), (26, 22), (26, 21), (26, 20), (25, 20), (24, 20), (24, 21), (23, 21), (22, 21), (21, 21), (20, 21), (19, 21), (18, 21), (17, 21), (17, 22), (16, 22), (15, 22), (15, 21), (14, 21)]"
486,0.55,"(34, 27)","(1, 30)","(11, 17)",0,0,0,0,0,24,36,36,36,"[(34, 26), (33, 26), (32, 26), (32, 25), (31, 25), (30, 25), (29, 25), (29, 24), (28, 24), (27, 24), (26, 24), (25, 24), (24, 24), (23, 24), (22, 24), (22, 25), (22, 26), (21, 26), (20, 26), (19, 26), (18, 26), (18, 25), (17, 25), (16, 25)]","[(34, 26), (33, 26), (32, 26), (32, 25), (31, 25), (30, 25), (29, 25), (29, 24), (28, 24), (27, 24), (26, 24), (25, 24), (24, 24), (23, 24), (22, 24), (22, 25), (22, 26), (21, 26), (20, 26), (19, 26), (18, 26), (18, 25), (17, 25), (18, 25), (18, 26), (18, 27), (18, 28), (18, 29), (19, 29), (19, 30), (19, 31), (18, 31), (19, 31), (19, 32), (19, 33)]","[(34, 26), (33, 26), (32, 26), (32, 25), (31, 25), (30, 25), (29, 25), (29, 24), (28, 24), (27, 24), (26, 24), (25, 24), (24, 24), (23, 24), (22, 24), (22, 25), (22, 26), (21, 26), (20, 26), (19, 26), (18, 26), (18, 25), (18, 26), (18, 27), (18, 28), (18, 29), (19, 29), (19, 30), (19, 31), (18, 31), (17, 31), (17, 32), (17, 33), (16, 33), (16, 34)]","[(34, 26), (33, 26), (32, 26), (32, 27), (31, 27), (30, 27), (30, 28), (29, 28), (29, 29), (28, 29), (27, 29), (27, 30), (27, 31), (26, 31), (25, 31), (24, 31), (23, 31), (22, 31), (22, 30), (21, 30), (20, 30), (19, 30), (19, 31), (18, 31), (17, 31), (17, 32), (16, 32), (15, 32), (14, 32), (14, 33), (13, 33), (13, 34), (12, 34), (11, 34), (11, 35), (11, 36)]"
487,0.35,"(29, 23)","(39, 32)","(34, 24)",1,1,1,1,1,19,19,19,21,"[(29, 24), (30, 24), (30, 25), (31, 25), (32, 25), (33, 25), (33, 26), (34, 26), (34, 27), (35, 27), (36, 27), (36, 28), (37, 28), (37, 29), (37, 30), (38, 30), (38, 31), (38, 32), (39, 32)]","[(29, 24), (30, 24), (30, 25), (31, 25), (32, 25), (33, 25), (33, 26), (34, 26), (34, 27), (35, 27), (36, 27), (36, 28), (37, 28), (37, 29), (37, 30), (38, 30), (38, 31), (38, 32), (39, 32)]","[(29, 24), (30, 24), (30, 25), (31, 25), (32, 25), (33, 25), (33, 26), (34, 26), (34, 27), (35, 27), (36, 27), (36, 28), (37, 28), (37, 29), (37, 30), (38, 30), (38, 31), (38, 32), (39, 32)]","[(29, 24), (30, 24), (30, 25), (30, 26), (30, 27), (30, 28), (30, 29), (30, 30), (31, 30), (32, 30), (33, 30), (33, 31), (33, 32), (33, 33), (34, 33), (35, 33), (36, 33), (37, 33), (38, 33), (38, 32), (39, 32)]"
488,0.9,"(15, 11)","(38, 17)","(6, 22)",1,1,1,1,1,39,39,39,39,"[(15, 10), (15, 9), (16, 9), (17, 9), (18, 9), (19, 9), (20, 9), (20, 10), (20, 11), (20, 12), (21, 12), (21, 13), (21, 14), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (25, 16), (26, 16), (27, 16), (27, 17), (28, 17), (29, 17), (29, 16), (30, 16), (31, 16), (31, 17), (31, 18), (32, 18), (33, 18), (34, 18), (34, 17), (35, 17), (35, 16), (36, 16), (37, 16), (38, 16), (38, 17)]","[(15, 10), (15, 9), (16, 9), (17, 9), (18, 9), (19, 9), (20, 9), (20, 10), (20, 11), (20, 12), (21, 12), (21, 13), (21, 14), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (25, 16), (26, 16), (27, 16), (27, 17), (28, 17), (29, 17), (29, 16), (30, 16), (31, 16), (31, 17), (31, 18), (32, 18), (33, 18), (34, 18), (34, 17), (35, 17), (35, 16), (36, 16), (37, 16), (38, 16), (38, 17)]","[(15, 10), (15, 9), (16, 9), (17, 9), (18, 9), (19, 9), (20, 9), (20, 10), (20, 11), (20, 12), (21, 12), (21, 13), (21, 14), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (25, 16), (26, 16), (27, 16), (27, 17), (28, 17), (29, 17), (29, 16), (30, 16), (31, 16), (31, 17), (31, 18), (32, 18), (33, 18), (34, 18), (34, 17), (35, 17), (35, 16), (36, 16), (37, 16), (38, 16), (38, 17)]","[(15, 10), (15, 9), (16, 9), (17, 9), (18, 9), (19, 9), (20, 9), (20, 10), (20, 11), (20, 12), (21, 12), (21, 13), (21, 14), (21, 15), (22, 15), (23, 15), (24, 15), (25, 15), (26, 15), (26, 16), (27, 16), (27, 17), (28, 17), (29, 17), (29, 16), (30, 16), (31, 16), (31, 17), (31, 18), (32, 18), (33, 18), (34, 18), (34, 17), (35, 17), (35, 16), (36, 16), (37, 16), (38, 16), (38, 17)]"
489,0.25,"(1, 6)","(32, 25)","(31, 3)",1,1,1,1,1,50,50,50,54,"[(1, 7), (2, 7), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (4, 12), (4, 13), (4, 14), (4, 15), (5, 15), (6, 15), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16), (11, 16), (12, 16), (12, 17), (13, 17), (14, 17), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (18, 19), (18, 20), (18, 21), (18, 22), (18, 23), (19, 23), (20, 23), (21, 23), (21, 24), (22, 24), (23, 24), (24, 24), (25, 24), (26, 24), (27, 24), (28, 24), (29, 24), (29, 25), (30, 25), (31, 25), (32, 25)]","[(1, 7), (2, 7), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (4, 12), (4, 13), (4, 14), (4, 15), (5, 15), (6, 15), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16), (11, 16), (12, 16), (12, 17), (13, 17), (14, 17), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (18, 19), (18, 20), (18, 21), (18, 22), (18, 23), (19, 23), (20, 23), (21, 23), (21, 24), (22, 24), (23, 24), (24, 24), (25, 24), (26, 24), (27, 24), (28, 24), (29, 24), (29, 25), (30, 25), (31, 25), (32, 25)]","[(1, 7), (2, 7), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (4, 12), (4, 13), (4, 14), (4, 15), (5, 15), (6, 15), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16), (11, 16), (12, 16), (12, 17), (13, 17), (14, 17), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (18, 19), (18, 20), (18, 21), (18, 22), (18, 23), (19, 23), (20, 23), (21, 23), (21, 24), (22, 24), (23, 24), (24, 24), (25, 24), (26, 24), (27, 24), (28, 24), (29, 24), (29, 25), (30, 25), (31, 25), (32, 25)]","[(1, 7), (2, 7), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (4, 12), (4, 13), (4, 14), (4, 15), (5, 15), (6, 15), (6, 16), (7, 16), (7, 17), (7, 18), (8, 18), (9, 18), (10, 18), (11, 18), (12, 18), (12, 17), (13, 17), (14, 17), (14, 18), (14, 19), (15, 19), (15, 20), (15, 21), (15, 22), (16, 22), (16, 23), (16, 24), (17, 24), (17, 25), (18, 25), (19, 25), (20, 25), (21, 25), (21, 24), (22, 24), (23, 24), (24, 24), (25, 24), (26, 24), (27, 24), (28, 24), (29, 24), (29, 25), (30, 25), (31, 25), (32, 25)]"
490,1,"(31, 5)","(29, 2)","(8, 25)",1,1,1,1,1,5,5,5,5,"[(30, 5), (29, 5), (29, 4), (29, 3), (29, 2)]","[(30, 5), (29, 5), (29, 4), (29, 3), (29, 2)]","[(30, 5), (29, 5), (29, 4), (29, 3), (29, 2)]","[(31, 4), (31, 3), (30, 3), (29, 3), (29, 2)]"
491,0.55,"(38, 39)","(14, 9)","(7, 20)",0,0,0,0,0,32,32,32,32,"[(37, 39), (37, 38), (36, 38), (35, 38), (34, 38), (33, 38), (32, 38), (31, 38), (30, 38), (29, 38), (29, 37), (29, 36), (29, 35), (29, 34), (29, 33), (28, 33), (28, 32), (28, 31), (28, 30), (28, 29), (28, 28), (28, 27), (28, 26), (27, 26), (27, 25), (27, 24), (27, 23), (27, 22), (27, 21), (27, 20), (27, 19), (27, 18)]","[(37, 39), (37, 38), (36, 38), (35, 38), (34, 38), (33, 38), (32, 38), (31, 38), (30, 38), (29, 38), (29, 37), (29, 36), (29, 35), (29, 34), (29, 33), (28, 33), (28, 32), (28, 31), (28, 30), (28, 29), (28, 28), (28, 27), (28, 26), (27, 26), (27, 25), (27, 24), (27, 23), (27, 22), (27, 21), (27, 20), (27, 19), (27, 18)]","[(37, 39), (37, 38), (36, 38), (35, 38), (34, 38), (33, 38), (32, 38), (31, 38), (30, 38), (29, 38), (29, 37), (29, 36), (29, 35), (29, 34), (29, 33), (28, 33), (28, 32), (28, 31), (28, 30), (28, 29), (28, 28), (28, 27), (28, 26), (27, 26), (27, 25), (27, 24), (27, 23), (27, 22), (27, 21), (27, 20), (27, 19), (27, 18)]","[(37, 39), (37, 38), (36, 38), (35, 38), (34, 38), (33, 38), (32, 38), (31, 38), (30, 38), (29, 38), (28, 38), (27, 38), (26, 38), (25, 38), (25, 37), (25, 36), (25, 35), (25, 34), (25, 33), (25, 32), (25, 31), (25, 30), (25, 29), (25, 28), (26, 28), (26, 27), (26, 26), (27, 26), (27, 25), (27, 24), (27, 23), (27, 22)]"
492,0.75,"(13, 6)","(8, 29)","(31, 10)",1,1,1,1,1,34,34,34,34,"[(14, 6), (14, 7), (14, 8), (14, 9), (14, 10), (14, 11), (14, 12), (13, 12), (12, 12), (12, 13), (12, 14), (11, 14), (11, 15), (11, 16), (11, 17), (11, 18), (11, 19), (10, 19), (10, 20), (10, 21), (10, 22), (9, 22), (8, 22), (8, 23), (7, 23), (7, 24), (7, 25), (7, 26), (6, 26), (6, 27), (6, 28), (7, 28), (7, 29), (8, 29)]","[(14, 6), (14, 7), (14, 8), (14, 9), (14, 10), (14, 11), (14, 12), (13, 12), (12, 12), (12, 13), (12, 14), (11, 14), (11, 15), (11, 16), (11, 17), (11, 18), (11, 19), (10, 19), (10, 20), (10, 21), (10, 22), (9, 22), (8, 22), (8, 23), (7, 23), (7, 24), (7, 25), (7, 26), (6, 26), (6, 27), (6, 28), (7, 28), (7, 29), (8, 29)]","[(14, 6), (14, 7), (14, 8), (14, 9), (14, 10), (14, 11), (14, 12), (13, 12), (12, 12), (12, 13), (12, 14), (11, 14), (11, 15), (11, 16), (11, 17), (11, 18), (11, 19), (10, 19), (10, 20), (10, 21), (10, 22), (9, 22), (8, 22), (8, 23), (7, 23), (7, 24), (7, 25), (7, 26), (6, 26), (6, 27), (6, 28), (7, 28), (7, 29), (8, 29)]","[(14, 6), (14, 7), (14, 8), (14, 9), (14, 10), (14, 11), (14, 12), (13, 12), (12, 12), (12, 13), (12, 14), (11, 14), (11, 15), (11, 16), (11, 17), (11, 18), (11, 19), (10, 19), (10, 20), (10, 21), (10, 22), (9, 22), (8, 22), (8, 23), (7, 23), (7, 24), (7, 25), (7, 26), (6, 26), (6, 27), (6, 28), (7, 28), (7, 29), (8, 29)]"
493,0.7,"(34, 38)","(19, 31)","(12, 5)",1,1,1,1,1,28,28,28,28,"[(34, 37), (34, 36), (33, 36), (32, 36), (31, 36), (31, 37), (31, 38), (30, 38), (29, 38), (28, 38), (27, 38), (27, 37), (26, 37), (25, 37), (25, 36), (24, 36), (23, 36), (22, 36), (21, 36), (20, 36), (20, 35), (20, 34), (20, 33), (19, 33), (18, 33), (18, 32), (18, 31), (19, 31)]","[(34, 37), (34, 36), (33, 36), (32, 36), (31, 36), (31, 37), (31, 38), (30, 38), (29, 38), (28, 38), (27, 38), (27, 37), (26, 37), (25, 37), (25, 36), (24, 36), (23, 36), (22, 36), (21, 36), (20, 36), (20, 35), (20, 34), (20, 33), (19, 33), (18, 33), (18, 32), (18, 31), (19, 31)]","[(34, 37), (34, 36), (33, 36), (32, 36), (31, 36), (31, 37), (31, 38), (30, 38), (29, 38), (28, 38), (27, 38), (27, 37), (26, 37), (25, 37), (25, 36), (24, 36), (23, 36), (22, 36), (21, 36), (20, 36), (20, 35), (20, 34), (20, 33), (19, 33), (18, 33), (18, 32), (18, 31), (19, 31)]","[(34, 37), (34, 36), (33, 36), (32, 36), (31, 36), (31, 37), (31, 38), (30, 38), (29, 38), (28, 38), (27, 38), (27, 37), (26, 37), (25, 37), (25, 36), (24, 36), (23, 36), (22, 36), (21, 36), (20, 36), (20, 35), (20, 34), (20, 33), (19, 33), (18, 33), (18, 32), (18, 31), (19, 31)]"
494,0.6,"(24, 38)","(30, 33)","(6, 31)",1,1,1,1,1,13,13,13,13,"[(24, 37), (24, 36), (24, 35), (24, 34), (25, 34), (26, 34), (27, 34), (28, 34), (28, 35), (29, 35), (30, 35), (30, 34), (30, 33)]","[(24, 37), (24, 36), (24, 35), (24, 34), (25, 34), (26, 34), (27, 34), (28, 34), (28, 35), (29, 35), (30, 35), (30, 34), (30, 33)]","[(24, 37), (24, 36), (24, 35), (24, 34), (25, 34), (26, 34), (27, 34), (28, 34), (28, 35), (29, 35), (30, 35), (30, 34), (30, 33)]","[(24, 37), (24, 36), (24, 35), (24, 34), (25, 34), (26, 34), (27, 34), (28, 34), (28, 35), (29, 35), (30, 35), (30, 34), (30, 33)]"
495,0.4,"(12, 38)","(39, 34)","(3, 19)",1,1,1,1,1,37,37,37,41,"[(13, 38), (13, 39), (14, 39), (15, 39), (16, 39), (17, 39), (18, 39), (19, 39), (20, 39), (21, 39), (22, 39), (22, 38), (22, 37), (23, 37), (24, 37), (25, 37), (26, 37), (27, 37), (27, 36), (27, 35), (28, 35), (29, 35), (30, 35), (30, 34), (31, 34), (31, 33), (31, 32), (32, 32), (33, 32), (33, 33), (34, 33), (35, 33), (36, 33), (37, 33), (38, 33), (39, 33), (39, 34)]","[(13, 38), (13, 39), (14, 39), (15, 39), (16, 39), (17, 39), (18, 39), (19, 39), (20, 39), (21, 39), (22, 39), (22, 38), (22, 37), (23, 37), (24, 37), (25, 37), (26, 37), (27, 37), (27, 36), (27, 35), (28, 35), (29, 35), (30, 35), (30, 34), (31, 34), (31, 33), (31, 32), (32, 32), (33, 32), (33, 33), (34, 33), (35, 33), (36, 33), (37, 33), (38, 33), (39, 33), (39, 34)]","[(13, 38), (13, 39), (14, 39), (15, 39), (16, 39), (17, 39), (18, 39), (19, 39), (20, 39), (21, 39), (22, 39), (22, 38), (22, 37), (23, 37), (24, 37), (25, 37), (26, 37), (27, 37), (27, 36), (27, 35), (28, 35), (29, 35), (30, 35), (30, 34), (31, 34), (31, 33), (31, 32), (32, 32), (33, 32), (33, 33), (34, 33), (35, 33), (36, 33), (37, 33), (38, 33), (39, 33), (39, 34)]","[(13, 38), (13, 39), (14, 39), (15, 39), (16, 39), (17, 39), (18, 39), (19, 39), (20, 39), (21, 39), (22, 39), (23, 39), (24, 39), (25, 39), (25, 38), (26, 38), (27, 38), (27, 37), (27, 36), (28, 36), (28, 35), (29, 35), (30, 35), (30, 34), (31, 34), (32, 34), (32, 35), (33, 35), (33, 36), (34, 36), (34, 37), (35, 37), (36, 37), (36, 36), (36, 35), (37, 35), (37, 34), (37, 33), (38, 33), (39, 33), (39, 34)]"
496,0.2,"(18, 39)","(34, 36)","(9, 10)",1,1,1,1,1,25,25,25,27,"[(18, 38), (19, 38), (20, 38), (20, 37), (20, 36), (20, 35), (20, 34), (21, 34), (21, 33), (22, 33), (23, 33), (24, 33), (25, 33), (26, 33), (27, 33), (28, 33), (28, 34), (29, 34), (30, 34), (31, 34), (31, 35), (32, 35), (33, 35), (34, 35), (34, 36)]","[(18, 38), (19, 38), (20, 38), (20, 37), (20, 36), (20, 35), (20, 34), (21, 34), (21, 33), (22, 33), (23, 33), (24, 33), (25, 33), (26, 33), (27, 33), (28, 33), (28, 34), (29, 34), (30, 34), (31, 34), (31, 35), (32, 35), (33, 35), (34, 35), (34, 36)]","[(18, 38), (19, 38), (20, 38), (20, 37), (20, 36), (20, 35), (20, 34), (21, 34), (21, 33), (22, 33), (23, 33), (24, 33), (25, 33), (26, 33), (27, 33), (28, 33), (28, 34), (29, 34), (30, 34), (31, 34), (31, 35), (32, 35), (33, 35), (34, 35), (34, 36)]","[(18, 38), (19, 38), (20, 38), (20, 37), (20, 36), (20, 35), (20, 34), (21, 34), (21, 33), (22, 33), (23, 33), (24, 33), (25, 33), (26, 33), (27, 33), (28, 33), (28, 34), (29, 34), (29, 35), (29, 36), (30, 36), (31, 36), (32, 36), (32, 35), (33, 35), (34, 35), (34, 36)]"
497,0.5,"(39, 19)","(0, 16)","(13, 3)",0,0,0,0,0,40,55,55,37,"[(38, 19), (37, 19), (37, 20), (36, 20), (35, 20), (34, 20), (33, 20), (32, 20), (31, 20), (30, 20), (29, 20), (29, 21), (28, 21), (27, 21), (26, 21), (25, 21), (24, 21), (23, 21), (22, 21), (22, 22), (21, 22), (20, 22), (20, 21), (19, 21), (18, 21), (18, 22), (17, 22), (16, 22), (16, 21), (15, 21), (15, 20), (15, 19), (14, 19), (13, 19), (13, 18), (12, 18), (11, 18), (10, 18), (9, 18), (9, 17)]","[(38, 19), (37, 19), (37, 20), (36, 20), (35, 20), (34, 20), (33, 20), (32, 20), (31, 20), (30, 20), (29, 20), (29, 21), (28, 21), (27, 21), (26, 21), (25, 21), (24, 21), (23, 21), (22, 21), (22, 22), (21, 22), (20, 22), (20, 21), (19, 21), (18, 21), (18, 22), (17, 22), (16, 22), (16, 21), (15, 21), (15, 20), (15, 19), (14, 19), (13, 19), (13, 18), (12, 18), (11, 18), (10, 18), (9, 18), (9, 19), (8, 19), (8, 20), (8, 21), (7, 21), (7, 22), (6, 22), (5, 22), (4, 22), (3, 22), (3, 21), (2, 21), (2, 20), (1, 20), (0, 20), (0, 19)]","[(38, 19), (37, 19), (37, 20), (36, 20), (35, 20), (34, 20), (33, 20), (32, 20), (31, 20), (30, 20), (29, 20), (29, 21), (28, 21), (27, 21), (26, 21), (25, 21), (24, 21), (23, 21), (22, 21), (22, 22), (21, 22), (20, 22), (20, 21), (19, 21), (18, 21), (18, 22), (17, 22), (16, 22), (16, 21), (15, 21), (15, 20), (15, 19), (14, 19), (13, 19), (13, 18), (12, 18), (11, 18), (10, 18), (9, 18), (9, 19), (8, 19), (8, 20), (8, 21), (7, 21), (7, 22), (6, 22), (5, 22), (4, 22), (3, 22), (3, 21), (2, 21), (2, 20), (1, 20), (0, 20), (0, 19)]","[(38, 19), (37, 19), (37, 18), (36, 18), (36, 17), (35, 17), (34, 17), (33, 17), (33, 18), (32, 18), (31, 18), (30, 18), (29, 18), (28, 18), (27, 18), (26, 18), (25, 18), (25, 19), (24, 19), (23, 19), (22, 19), (21, 19), (21, 20), (20, 20), (20, 21), (19, 21), (18, 21), (18, 22), (17, 22), (16, 22), (16, 21), (15, 21), (15, 20), (15, 19), (14, 19), (13, 19), (13, 18)]"
498,0.5,"(15, 38)","(1, 39)","(12, 10)",1,1,1,1,1,25,25,25,25,"[(15, 39), (14, 39), (13, 39), (12, 39), (11, 39), (10, 39), (10, 38), (10, 37), (9, 37), (9, 36), (8, 36), (7, 36), (7, 37), (7, 38), (6, 38), (5, 38), (4, 38), (3, 38), (2, 38), (2, 37), (1, 37), (0, 37), (0, 38), (0, 39), (1, 39)]","[(15, 39), (14, 39), (13, 39), (12, 39), (11, 39), (10, 39), (10, 38), (10, 37), (9, 37), (9, 36), (8, 36), (7, 36), (7, 37), (7, 38), (6, 38), (5, 38), (4, 38), (3, 38), (2, 38), (2, 37), (1, 37), (0, 37), (0, 38), (0, 39), (1, 39)]","[(15, 39), (14, 39), (13, 39), (12, 39), (11, 39), (10, 39), (10, 38), (10, 37), (9, 37), (9, 36), (8, 36), (7, 36), (7, 37), (7, 38), (6, 38), (5, 38), (4, 38), (3, 38), (2, 38), (2, 37), (1, 37), (0, 37), (0, 38), (0, 39), (1, 39)]","[(15, 39), (14, 39), (13, 39), (12, 39), (11, 39), (10, 39), (10, 38), (10, 37), (9, 37), (9, 36), (8, 36), (7, 36), (7, 37), (7, 38), (6, 38), (5, 38), (4, 38), (3, 38), (2, 38), (2, 37), (1, 37), (0, 37), (0, 38), (0, 39), (1, 39)]"
499,0.15,"(31, 16)","(9, 34)","(16, 35)",1,0,1,1,1,31,42,42,52,"[(30, 16), (30, 17), (29, 17), (28, 17), (28, 18), (28, 19), (27, 19), (26, 19), (26, 20), (26, 21), (25, 21), (24, 21), (23, 21), (23, 22), (23, 23), (22, 23), (22, 24), (21, 24), (20, 24), (19, 24), (18, 24), (18, 25), (18, 26), (17, 26), (17, 27), (16, 27), (16, 28), (15, 28), (14, 28), (14, 29), (14, 30)]","[(30, 16), (30, 17), (29, 17), (28, 17), (28, 18), (28, 19), (27, 19), (26, 19), (26, 20), (26, 21), (25, 21), (24, 21), (23, 21), (23, 22), (23, 23), (22, 23), (22, 24), (21, 24), (20, 24), (19, 24), (18, 24), (18, 25), (18, 26), (17, 26), (17, 27), (16, 27), (16, 28), (15, 28), (14, 28), (14, 29), (13, 29), (12, 29), (11, 29), (10, 29), (9, 29), (8, 29), (8, 30), (8, 31), (8, 32), (8, 33), (8, 34), (9, 34)]","[(30, 16), (30, 17), (29, 17), (28, 17), (28, 18), (28, 19), (27, 19), (26, 19), (26, 20), (26, 21), (25, 21), (24, 21), (23, 21), (23, 22), (23, 23), (22, 23), (22, 24), (21, 24), (20, 24), (19, 24), (18, 24), (18, 25), (18, 26), (17, 26), (17, 27), (16, 27), (16, 28), (15, 28), (14, 28), (14, 29), (13, 29), (12, 29), (11, 29), (10, 29), (9, 29), (8, 29), (8, 30), (8, 31), (8, 32), (8, 33), (8, 34), (9, 34)]","[(30, 16), (30, 17), (29, 17), (28, 17), (27, 17), (26, 17), (25, 17), (24, 17), (23, 17), (22, 17), (22, 16), (21, 16), (21, 15), (21, 14), (20, 14), (19, 14), (19, 15), (18, 15), (17, 15), (16, 15), (15, 15), (15, 16), (14, 16), (13, 16), (12, 16), (12, 17), (11, 17), (11, 18), (10, 18), (9, 18), (8, 18), (8, 19), (8, 20), (8, 21), (8, 22), (8, 23), (8, 24), (8, 25), (8, 26), (8, 27), (7, 27), (6, 27), (6, 28), (6, 29), (7, 29), (7, 30), (8, 30), (8, 31), (8, 32), (8, 33), (8, 34), (9, 34)]"
